uid,block,style,policy,cuts,hz
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,intent_3408_last,32,6.586826347305389
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,speaker_count_3408_last,13,2.7944111776447107
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,emotion_3407,20,4.1916167664670665
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,emotion_3409,19,3.9920159680638725
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,intent_3408,41,8.383233532934133
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,speaker_count_3408,38,7.784431137724551
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,asr_3408,15,10.087079869183182
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,emotion_3408,5,3.7826549509436935
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,intent_3408_last,10,6.934867410063438
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,speaker_count_3408_last,6,4.413097442767643
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,emotion_3407,6,4.413097442767643
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,emotion_3409,4,3.1522124591197445
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,intent_3408,15,10.087079869183182
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,speaker_count_3408,15,10.087079869183182
ex01_confused_00370,ex01::AT LEAST I DO,confused,asr_3408,13,6.131946345469477
ex01_confused_00370,ex01::AT LEAST I DO,confused,emotion_3408,6,3.0659731727347386
ex01_confused_00370,ex01::AT LEAST I DO,confused,intent_3408_last,9,4.37996167533534
ex01_confused_00370,ex01::AT LEAST I DO,confused,speaker_count_3408_last,4,2.18998083766767
ex01_confused_00370,ex01::AT LEAST I DO,confused,emotion_3407,7,3.5039693402682723
ex01_confused_00370,ex01::AT LEAST I DO,confused,emotion_3409,5,2.6279770052012044
ex01_confused_00370,ex01::AT LEAST I DO,confused,intent_3408,13,6.131946345469477
ex01_confused_00370,ex01::AT LEAST I DO,confused,speaker_count_3408,13,6.131946345469477
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,asr_3408,23,11.114327062228655
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,emotion_3408,11,5.557163531114328
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,intent_3408_last,15,7.409551374819103
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,speaker_count_3408_last,7,3.7047756874095517
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,emotion_3407,14,6.946454413892909
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,emotion_3409,10,5.094066570188134
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,intent_3408,23,11.114327062228655
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,speaker_count_3408,20,9.725036179450074
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,asr_3408,25,10.293972087498762
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,emotion_3408,15,6.334752053845393
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,intent_3408_last,20,8.314362070672077
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,speaker_count_3408_last,7,3.1673760269226965
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,emotion_3407,17,7.126596060576067
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,emotion_3409,15,6.334752053845393
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,intent_3408,26,10.6898940908641
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,speaker_count_3408,25,10.293972087498762
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,asr_3408,19,8.709853021230266
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,emotion_3408,11,5.225911812738159
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,intent_3408_last,13,6.096897114861187
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,speaker_count_3408_last,7,3.4839412084921064
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,emotion_3407,12,5.661404463799673
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,emotion_3409,10,4.790419161676646
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,intent_3408,19,8.709853021230266
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,speaker_count_3408,18,8.274360370168752
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,asr_3408,25,10.324630199543334
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,emotion_3408,13,5.559416261292564
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,intent_3408_last,19,7.9420232304179486
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,speaker_count_3408_last,7,3.1768092921671793
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,emotion_3407,13,5.559416261292564
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,emotion_3409,13,5.559416261292564
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,intent_3408,25,10.324630199543334
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,speaker_count_3408,25,10.324630199543334
ex01_default_00168,ex01::YOU KNOW WHAT,default,asr_3408,10,11.477761836441895
ex01_default_00168,ex01::YOU KNOW WHAT,default,emotion_3408,2,3.130298682665971
ex01_default_00168,ex01::YOU KNOW WHAT,default,intent_3408_last,5,6.260597365331942
ex01_default_00168,ex01::YOU KNOW WHAT,default,speaker_count_3408_last,3,4.1737315768879615
ex01_default_00168,ex01::YOU KNOW WHAT,default,emotion_3407,3,4.1737315768879615
ex01_default_00168,ex01::YOU KNOW WHAT,default,emotion_3409,1,2.0868657884439807
ex01_default_00168,ex01::YOU KNOW WHAT,default,intent_3408,10,11.477761836441895
ex01_default_00168,ex01::YOU KNOW WHAT,default,speaker_count_3408,10,11.477761836441895
ex01_default_00255,ex01::MARIAN,default,asr_3408,7,9.43048699624254
ex01_default_00255,ex01::MARIAN,default,emotion_3408,1,2.357621749060635
ex01_default_00255,ex01::MARIAN,default,intent_3408_last,5,7.072865247181905
ex01_default_00255,ex01::MARIAN,default,speaker_count_3408_last,1,2.357621749060635
ex01_default_00255,ex01::MARIAN,default,emotion_3407,3,4.71524349812127
ex01_default_00255,ex01::MARIAN,default,emotion_3409,2,3.5364326235909527
ex01_default_00255,ex01::MARIAN,default,intent_3408,7,9.43048699624254
ex01_default_00255,ex01::MARIAN,default,speaker_count_3408,5,7.072865247181905
