uid,block,policy,retained,lag_ms,envelope_sum,n
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,-80,10.3542401100245,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,-60,9.971981580354646,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,-40,9.487445515495576,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,-20,9.22902297811886,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,0,9.420274193318264,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,20,9.70741215475503,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,40,9.581730927602594,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,60,9.092130763338382,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,80,8.584859610829655,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,100,8.306448539491882,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,-100,3.710243891820863,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,-80,4.0616800013944925,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,-60,4.107611123010287,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,-40,3.8714606527434805,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,-20,3.5919427507680344,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,0,3.427503016832317,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,20,3.3352287996025574,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,40,3.193699178073059,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,60,2.9259211166218018,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,80,2.5801297384529884,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,0,100,2.362114873003937,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,-100,16.65287683585612,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,-80,16.744454889536254,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,-60,16.395795461791074,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,-40,15.896366288136857,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,-20,15.610903223835434,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,0,15.730086489459385,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,20,15.777327850987724,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,40,15.196123001641098,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,60,14.283449984656304,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,80,13.525269334885172,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,1,100,13.060879182896992,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,-100,16.852945336275727,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,-80,17.675749737926672,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,-60,17.470619571081507,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,-40,16.501017108472787,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,-20,15.260370060354028,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,0,14.170948678713007,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,20,13.162938692834695,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,40,12.028350924491859,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,60,10.975315160460495,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,80,10.18914905341141,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,0,100,9.805724788634171,24
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,-100,3.5101753914012557,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,-80,3.130385153004075,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,-60,3.0327870137198563,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,-40,3.266809832407552,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,-20,3.942475914249442,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,0,4.986640827578694,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,20,5.949617957755583,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,40,6.3614712552222965,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,60,6.234055940817607,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,80,5.916250019926748,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,speaker_count_3408_last,1,100,5.617269267266758,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,-100,8.483726055764784,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,-80,9.009889439509937,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,-60,9.06245936105326,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,-40,8.863341063198698,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,-20,8.619564773503994,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,0,8.371914810447391,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,20,7.984674115348411,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,40,7.395924924905104,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,60,6.785207892218678,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,80,6.280262020518803,14
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3407,0,100,5.961465917898188,14
